epoch,loss_type,train_loss,test_loss,val_loss,accuracy,precision,recall,f1,tn,fp,fn,tp,positive_rank_1_rate,positive_rank_3_rate,positive_rank_5_rate,mean_reciprocal_rank,val_p1,val_p3,val_p5,val_mrr,best_epoch,is_best_epoch,selected_metric,selected_metric_value,early_stopped,no_improve_epochs,num_train_qids,num_test_qids,max_length,vocab_size,seed
1,group_ce,2.308866762161255,2.3030383071899414,2.3030383071899414,0.9,0.0,0.0,0.0,1125,0,125,0,0.088,0.248,0.448,0.2657142906188965,0.088,0.248,0.448,0.2657142906188965,45,False,val_mrr,0.2657142906188965,False,0,375,125,384,1829,42
2,group_ce,2.2999820480346678,2.304059883117676,2.304059883117676,0.9,0.0,0.0,0.0,1125,0,125,0,0.056,0.264,0.424,0.24816190338134766,0.056,0.264,0.424,0.24816190338134766,45,False,val_mrr,0.24816190338134766,False,1,375,125,384,1829,42
3,group_ce,2.3041399720509848,2.3035097751617433,2.3035097751617433,0.9,0.0,0.0,0.0,1125,0,125,0,0.08,0.288,0.488,0.2761428680419922,0.08,0.288,0.488,0.2761428680419922,45,False,val_mrr,0.2761428680419922,False,0,375,125,384,1829,42
4,group_ce,2.299459281921387,2.305585388183594,2.305585388183594,0.9,0.0,0.0,0.0,1125,0,125,0,0.064,0.304,0.504,0.27208255004882814,0.064,0.304,0.504,0.27208255004882814,45,False,val_mrr,0.27208255004882814,False,1,375,125,384,1829,42
5,group_ce,2.2764963518778485,2.3116555786132813,2.3116555786132813,0.9,0.0,0.0,0.0,1125,0,125,0,0.096,0.32,0.504,0.290514289855957,0.096,0.32,0.504,0.290514289855957,45,False,val_mrr,0.290514289855957,False,0,375,125,384,1829,42
6,group_ce,2.2538936977386475,2.3413622188568115,2.3413622188568115,0.6544,0.10941475826972011,0.344,0.16602316602316602,775,350,82,43,0.08,0.336,0.568,0.2947015914916992,0.08,0.336,0.568,0.2947015914916992,45,False,val_mrr,0.2947015914916992,False,0,375,125,384,1829,42
7,group_ce,2.183297342300415,2.3858658504486083,2.3858658504486083,0.852,0.1511627906976744,0.104,0.12322274881516587,1052,73,112,13,0.104,0.36,0.552,0.3133047561645508,0.104,0.36,0.552,0.3133047561645508,45,False,val_mrr,0.3133047561645508,False,0,375,125,384,1829,42
8,group_ce,2.1817181453704833,2.3930449447631834,2.3930449447631834,0.7104,0.12140575079872204,0.304,0.1735159817351598,850,275,87,38,0.096,0.336,0.536,0.30035872650146483,0.096,0.336,0.536,0.30035872650146483,45,False,val_mrr,0.30035872650146483,False,1,375,125,384,1829,42
9,group_ce,2.1033776899973553,2.4336104831695557,2.4336104831695557,0.5136,0.09950248756218906,0.48,0.16483516483516483,582,543,65,60,0.104,0.328,0.536,0.31221588134765627,0.104,0.328,0.536,0.31221588134765627,45,False,val_mrr,0.31221588134765627,False,2,375,125,384,1829,42
10,group_ce,2.0523475290934243,2.4745683250427244,2.4745683250427244,0.7208,0.13157894736842105,0.32,0.1864801864801865,861,264,85,40,0.128,0.352,0.584,0.3306666717529297,0.128,0.352,0.584,0.3306666717529297,45,False,val_mrr,0.3306666717529297,False,0,375,125,384,1829,42
11,group_ce,1.9616152216593425,2.505016820907593,2.505016820907593,0.848,0.1782178217821782,0.144,0.1592920353982301,1042,83,107,18,0.128,0.352,0.584,0.3319206314086914,0.128,0.352,0.584,0.3319206314086914,45,False,val_mrr,0.3319206314086914,False,0,375,125,384,1829,42
12,group_ce,1.8667404610315959,2.537076412200928,2.537076412200928,0.4768,0.11273792093704246,0.616,0.1905940594059406,519,606,48,77,0.136,0.4,0.568,0.336539680480957,0.136,0.4,0.568,0.336539680480957,45,False,val_mrr,0.336539680480957,False,0,375,125,384,1829,42
13,group_ce,1.8530336434046428,2.4941094532012937,2.4941094532012937,0.8832,0.21621621621621623,0.064,0.09876543209876543,1096,29,117,8,0.16,0.376,0.592,0.351511116027832,0.16,0.376,0.592,0.351511116027832,45,False,val_mrr,0.351511116027832,False,0,375,125,384,1829,42
14,group_ce,1.8706974976857502,2.622473886489868,2.622473886489868,0.6688,0.12661498708010335,0.392,0.19140625,787,338,76,49,0.152,0.408,0.584,0.3565936508178711,0.152,0.408,0.584,0.3565936508178711,45,False,val_mrr,0.3565936508178711,False,0,375,125,384,1829,42
15,group_ce,1.690614144007365,2.7532851371765137,2.7532851371765137,0.8384,0.16521739130434782,0.152,0.15833333333333333,1029,96,106,19,0.152,0.384,0.56,0.34929206848144534,0.152,0.384,0.56,0.34929206848144534,45,False,val_mrr,0.34929206848144534,False,1,375,125,384,1829,42
16,group_ce,1.5994700736999512,2.795357933044434,2.795357933044434,0.776,0.1461187214611872,0.256,0.18604651162790697,938,187,93,32,0.176,0.384,0.576,0.36326668548583985,0.176,0.384,0.576,0.36326668548583985,45,False,val_mrr,0.36326668548583985,False,0,375,125,384,1829,42
17,group_ce,1.5375146579742431,3.026928295135498,3.026928295135498,0.748,0.14285714285714285,0.304,0.19437340153452684,897,228,87,38,0.128,0.392,0.528,0.330492073059082,0.128,0.392,0.528,0.330492073059082,45,False,val_mrr,0.330492073059082,False,1,375,125,384,1829,42
18,group_ce,1.5026942138671875,2.7766040821075437,2.7766040821075437,0.8648,0.18571428571428572,0.104,0.13333333333333333,1068,57,112,13,0.176,0.376,0.592,0.366,0.176,0.376,0.592,0.366,45,False,val_mrr,0.366,False,0,375,125,384,1829,42
19,group_ce,1.4521504697799683,2.9305452728271484,2.9305452728271484,0.8448,0.1834862385321101,0.16,0.17094017094017094,1036,89,105,20,0.192,0.336,0.544,0.3612666702270508,0.192,0.336,0.544,0.3612666702270508,45,False,val_mrr,0.3612666702270508,False,1,375,125,384,1829,42
20,group_ce,1.2745223611195882,3.1580241622924805,3.1580241622924805,0.8584,0.19767441860465115,0.136,0.16113744075829384,1056,69,108,17,0.152,0.36,0.528,0.33695556640625,0.152,0.36,0.528,0.33695556640625,45,False,val_mrr,0.33695556640625,False,2,375,125,384,1829,42
21,group_ce,1.334792941093445,2.9790778770446775,2.9790778770446775,0.8792,0.21739130434782608,0.08,0.11695906432748537,1089,36,115,10,0.152,0.4,0.56,0.3458825378417969,0.152,0.4,0.56,0.3458825378417969,45,False,val_mrr,0.3458825378417969,False,3,375,125,384,1829,42
22,group_ce,1.199796174844106,3.5672936401367186,3.5672936401367186,0.7824,0.15492957746478872,0.264,0.1952662721893491,945,180,92,33,0.176,0.408,0.568,0.36323809814453123,0.176,0.408,0.568,0.36323809814453123,45,False,val_mrr,0.36323809814453123,False,4,375,125,384,1829,42
23,group_ce,1.0881945972442626,3.525516046524048,3.525516046524048,0.7232,0.1423948220064725,0.352,0.20276497695852536,860,265,81,44,0.144,0.4,0.6,0.35070794677734374,0.144,0.4,0.6,0.35070794677734374,45,False,val_mrr,0.35070794677734374,False,5,375,125,384,1829,42
24,group_ce,1.1627608302434285,3.251486684799194,3.251486684799194,0.8504,0.20192307692307693,0.168,0.18340611353711792,1042,83,104,21,0.176,0.424,0.6,0.36872698974609375,0.176,0.424,0.6,0.36872698974609375,45,False,val_mrr,0.36872698974609375,False,0,375,125,384,1829,42
25,group_ce,0.9364949607849121,3.7459671859741213,3.7459671859741213,0.8464,0.20353982300884957,0.184,0.19327731092436976,1035,90,102,23,0.168,0.4,0.592,0.3642571487426758,0.168,0.4,0.592,0.3642571487426758,45,False,val_mrr,0.3642571487426758,False,1,375,125,384,1829,42
26,group_ce,0.9547004558245341,3.6366234912872315,3.6366234912872315,0.6904,0.14402173913043478,0.424,0.2150101419878296,810,315,72,53,0.168,0.44,0.584,0.36958731079101564,0.168,0.44,0.584,0.36958731079101564,45,False,val_mrr,0.36958731079101564,False,0,375,125,384,1829,42
27,group_ce,0.8142265060742696,4.33422078704834,4.33422078704834,0.7904,0.15577889447236182,0.248,0.19135802469135801,957,168,94,31,0.184,0.416,0.64,0.37380318450927735,0.184,0.416,0.64,0.37380318450927735,45,False,val_mrr,0.37380318450927735,False,0,375,125,384,1829,42
28,group_ce,0.939776965936025,3.335825012207031,3.335825012207031,0.8424,0.2,0.192,0.19591836734693877,1029,96,101,24,0.176,0.44,0.632,0.37653016662597655,0.176,0.44,0.632,0.37653016662597655,45,False,val_mrr,0.37653016662597655,False,0,375,125,384,1829,42
29,group_ce,0.8607048943837484,3.5703910884857177,3.5703910884857177,0.8832,0.23076923076923078,0.072,0.10975609756097561,1095,30,116,9,0.168,0.432,0.664,0.37805397033691407,0.168,0.432,0.664,0.37805397033691407,45,False,val_mrr,0.37805397033691407,False,0,375,125,384,1829,42
30,group_ce,0.7897759915987651,3.794729248046875,3.794729248046875,0.8512,0.19801980198019803,0.16,0.17699115044247787,1044,81,105,20,0.152,0.44,0.6,0.3636952438354492,0.152,0.44,0.6,0.3636952438354492,45,False,val_mrr,0.3636952438354492,False,1,375,125,384,1829,42
31,group_ce,0.7713159243265788,3.8471530609130857,3.8471530609130857,0.7544,0.15267175572519084,0.32,0.20671834625322996,903,222,85,40,0.168,0.424,0.648,0.3725333480834961,0.168,0.424,0.648,0.3725333480834961,45,False,val_mrr,0.3725333480834961,False,2,375,125,384,1829,42
32,group_ce,0.7017364083925883,3.9601372146606444,3.9601372146606444,0.8672,0.22666666666666666,0.136,0.17,1067,58,108,17,0.16,0.456,0.592,0.36875557708740236,0.16,0.456,0.592,0.36875557708740236,45,False,val_mrr,0.36875557708740236,False,3,375,125,384,1829,42
33,group_ce,0.6217094581921895,4.273075481414795,4.273075481414795,0.8408,0.22388059701492538,0.24,0.23166023166023167,1021,104,95,30,0.192,0.456,0.64,0.3925428695678711,0.192,0.456,0.64,0.3925428695678711,45,False,val_mrr,0.3925428695678711,False,0,375,125,384,1829,42
34,group_ce,0.6526471557617187,4.740546516418457,4.740546516418457,0.8208,0.18471337579617833,0.232,0.20567375886524822,997,128,96,29,0.168,0.432,0.656,0.37873651885986326,0.168,0.432,0.656,0.37873651885986326,45,False,val_mrr,0.37873651885986326,False,1,375,125,384,1829,42
35,group_ce,0.5714559556643168,4.300748748779297,4.300748748779297,0.8448,0.20512820512820512,0.192,0.19834710743801653,1032,93,101,24,0.176,0.48,0.616,0.39362857055664063,0.176,0.48,0.616,0.39362857055664063,45,False,val_mrr,0.39362857055664063,False,0,375,125,384,1829,42
36,group_ce,0.5981632452805837,4.083226699829101,4.083226699829101,0.8664,0.2375,0.152,0.18536585365853658,1064,61,106,19,0.16,0.48,0.656,0.3827618942260742,0.16,0.48,0.656,0.3827618942260742,45,False,val_mrr,0.3827618942260742,False,1,375,125,384,1829,42
37,group_ce,0.5550793513456981,4.978145355224609,4.978145355224609,0.8112,0.1791907514450867,0.248,0.2080536912751678,983,142,94,31,0.16,0.472,0.664,0.3775523910522461,0.16,0.472,0.664,0.3775523910522461,45,False,val_mrr,0.3775523910522461,False,2,375,125,384,1829,42
38,group_ce,0.497787692228953,5.039193695068359,5.039193695068359,0.7176,0.14596273291925466,0.376,0.21029082774049218,850,275,78,47,0.168,0.456,0.632,0.3757809677124023,0.168,0.456,0.632,0.3757809677124023,45,False,val_mrr,0.3757809677124023,False,3,375,125,384,1829,42
39,group_ce,0.5431311224301656,4.313287097930909,4.313287097930909,0.8624,0.20253164556962025,0.128,0.1568627450980392,1062,63,109,16,0.16,0.432,0.608,0.3678222351074219,0.16,0.432,0.608,0.3678222351074219,45,False,val_mrr,0.3678222351074219,False,4,375,125,384,1829,42
40,group_ce,0.527052414894104,4.402549491882324,4.402549491882324,0.8408,0.22794117647058823,0.248,0.23754789272030652,1020,105,94,31,0.192,0.456,0.64,0.39113651275634764,0.192,0.456,0.64,0.39113651275634764,45,False,val_mrr,0.39113651275634764,False,5,375,125,384,1829,42
41,group_ce,0.42762828230857847,5.334825885772705,5.334825885772705,0.792,0.18604651162790697,0.32,0.23529411764705882,950,175,85,40,0.192,0.48,0.64,0.40394921112060544,0.192,0.48,0.64,0.40394921112060544,45,False,val_mrr,0.40394921112060544,False,0,375,125,384,1829,42
42,group_ce,0.4712791760365168,5.615048149108887,5.615048149108887,0.7816,0.17543859649122806,0.32,0.22662889518413598,937,188,85,40,0.16,0.464,0.648,0.37921588134765627,0.16,0.464,0.648,0.37921588134765627,45,False,val_mrr,0.37921588134765627,False,1,375,125,384,1829,42
43,group_ce,0.45438814210891726,4.84155290222168,4.84155290222168,0.824,0.18543046357615894,0.224,0.2028985507246377,1002,123,97,28,0.168,0.472,0.64,0.384473030090332,0.168,0.472,0.64,0.384473030090332,45,False,val_mrr,0.384473030090332,False,2,375,125,384,1829,42
44,group_ce,0.40142094119389854,5.26685099029541,5.26685099029541,0.772,0.16666666666666666,0.32,0.2191780821917808,925,200,85,40,0.192,0.496,0.632,0.3943619155883789,0.192,0.496,0.632,0.3943619155883789,45,False,val_mrr,0.3943619155883789,False,3,375,125,384,1829,42
45,group_ce,0.37302438060442605,4.997284618377686,4.997284618377686,0.8384,0.21897810218978103,0.24,0.22900763358778625,1018,107,95,30,0.208,0.48,0.632,0.4067682647705078,0.208,0.48,0.632,0.4067682647705078,45,True,val_mrr,0.4067682647705078,False,0,375,125,384,1829,42
46,group_ce,0.40555917040507,5.496074878692627,5.496074878692627,0.7856,0.1735159817351598,0.304,0.22093023255813954,944,181,87,38,0.192,0.48,0.624,0.3984571533203125,0.192,0.48,0.624,0.3984571533203125,45,False,val_mrr,0.3984571533203125,False,1,375,125,384,1829,42
47,group_ce,0.42756408246358235,5.107086635589599,5.107086635589599,0.8104,0.18181818181818182,0.256,0.21262458471760798,981,144,93,32,0.176,0.472,0.672,0.3928539733886719,0.176,0.472,0.672,0.3928539733886719,45,False,val_mrr,0.3928539733886719,False,2,375,125,384,1829,42
48,group_ce,0.4295031768480937,5.131685440063476,5.131685440063476,0.8456,0.211864406779661,0.2,0.205761316872428,1032,93,100,25,0.2,0.464,0.616,0.40483809661865233,0.2,0.464,0.616,0.40483809661865233,45,False,val_mrr,0.40483809661865233,False,3,375,125,384,1829,42
49,group_ce,0.28613213487466177,5.418375755310058,5.418375755310058,0.8392,0.1935483870967742,0.192,0.1927710843373494,1025,100,101,24,0.2,0.464,0.624,0.4028476333618164,0.2,0.464,0.624,0.4028476333618164,45,False,val_mrr,0.4028476333618164,False,4,375,125,384,1829,42
50,group_ce,0.25333403356870016,5.761465618133545,5.761465618133545,0.7928,0.17475728155339806,0.288,0.2175226586102719,955,170,89,36,0.16,0.48,0.632,0.3814190673828125,0.16,0.48,0.632,0.3814190673828125,45,False,val_mrr,0.3814190673828125,False,5,375,125,384,1829,42
